"Country","Variables","Values"
"Somalia","C1_Security_Apparatus",9.7
"Somalia","C2_Factionalized_Elites",10
"Somalia","C3_Group_Grievance",9.3
"Congo Democratic Republic","C1_Security_Apparatus",10
"Congo Democratic Republic","C2_Factionalized_Elites",9.5
"Congo Democratic Republic","C3_Group_Grievance",9.4
"Sudan","C1_Security_Apparatus",9.8
"Sudan","C2_Factionalized_Elites",10
"Sudan","C3_Group_Grievance",10
"South Sudan","C1_Security_Apparatus",9.6
"South Sudan","C2_Factionalized_Elites",9.8
"South Sudan","C3_Group_Grievance",10
"Chad","C1_Security_Apparatus",9.4
"Chad","C2_Factionalized_Elites",9.5
"Chad","C3_Group_Grievance",8.8
"Yemen","C1_Security_Apparatus",9.8
"Yemen","C2_Factionalized_Elites",9.5
"Yemen","C3_Group_Grievance",9
"Afghanistan","C1_Security_Apparatus",9.9
"Afghanistan","C2_Factionalized_Elites",9.4
"Afghanistan","C3_Group_Grievance",9.2
"Haiti","C1_Security_Apparatus",7.9
"Haiti","C2_Factionalized_Elites",9
"Haiti","C3_Group_Grievance",7
"Central African Republic","C1_Security_Apparatus",9.7
"Central African Republic","C2_Factionalized_Elites",9.1
"Central African Republic","C3_Group_Grievance",8.5
"Zimbabwe","C1_Security_Apparatus",8.4
"Zimbabwe","C2_Factionalized_Elites",9.7
"Zimbabwe","C3_Group_Grievance",8.4
"Iraq","C1_Security_Apparatus",10
"Iraq","C2_Factionalized_Elites",9.6
"Iraq","C3_Group_Grievance",10
"Cote d'Ivoire","C1_Security_Apparatus",9.1
"Cote d'Ivoire","C2_Factionalized_Elites",9.4
"Cote d'Ivoire","C3_Group_Grievance",9
"Pakistan","C1_Security_Apparatus",9.8
"Pakistan","C2_Factionalized_Elites",9.2
"Pakistan","C3_Group_Grievance",9.7
"Guinea","C1_Security_Apparatus",9.1
"Guinea","C2_Factionalized_Elites",8.9
"Guinea","C3_Group_Grievance",7.6
"Guinea Bissau","C1_Security_Apparatus",9.5
"Guinea Bissau","C2_Factionalized_Elites",9.7
"Guinea Bissau","C3_Group_Grievance",5.7
"Nigeria","C1_Security_Apparatus",9.5
"Nigeria","C2_Factionalized_Elites",9.4
"Nigeria","C3_Group_Grievance",9.8
"Kenya","C1_Security_Apparatus",8.1
"Kenya","C2_Factionalized_Elites",9
"Kenya","C3_Group_Grievance",9
"Niger","C1_Security_Apparatus",8.3
"Niger","C2_Factionalized_Elites",8.9
"Niger","C3_Group_Grievance",7.8
"Ethiopia","C1_Security_Apparatus",8.4
"Ethiopia","C2_Factionalized_Elites",8.7
"Ethiopia","C3_Group_Grievance",8.6
"Burundi","C1_Security_Apparatus",7.7
"Burundi","C2_Factionalized_Elites",7.9
"Burundi","C3_Group_Grievance",8.1
"Syria","C1_Security_Apparatus",9.8
"Syria","C2_Factionalized_Elites",9.2
"Syria","C3_Group_Grievance",9.3
"Uganda","C1_Security_Apparatus",8.2
"Uganda","C2_Factionalized_Elites",8.6
"Uganda","C3_Group_Grievance",8
"Liberia","C1_Security_Apparatus",7.1
"Liberia","C2_Factionalized_Elites",8.3
"Liberia","C3_Group_Grievance",6.5
"North Korea","C1_Security_Apparatus",8.4
"North Korea","C2_Factionalized_Elites",7.7
"North Korea","C3_Group_Grievance",6.6
"Eritrea","C1_Security_Apparatus",7.5
"Eritrea","C2_Factionalized_Elites",8.1
"Eritrea","C3_Group_Grievance",6.1
"Myanmar","C1_Security_Apparatus",7.8
"Myanmar","C2_Factionalized_Elites",8.6
"Myanmar","C3_Group_Grievance",9
"Cameroon","C1_Security_Apparatus",8
"Cameroon","C2_Factionalized_Elites",9.2
"Cameroon","C3_Group_Grievance",7.8
"Sri Lanka","C1_Security_Apparatus",8.5
"Sri Lanka","C2_Factionalized_Elites",9.3
"Sri Lanka","C3_Group_Grievance",9.5
"Bangladesh","C1_Security_Apparatus",7.7
"Bangladesh","C2_Factionalized_Elites",8.9
"Bangladesh","C3_Group_Grievance",8.6
"Nepal","C1_Security_Apparatus",7.6
"Nepal","C2_Factionalized_Elites",8.2
"Nepal","C3_Group_Grievance",9
"Mauritania","C1_Security_Apparatus",7.8
"Mauritania","C2_Factionalized_Elites",8.2
"Mauritania","C3_Group_Grievance",7.2
"Timor-Leste","C1_Security_Apparatus",8.3
"Timor-Leste","C2_Factionalized_Elites",8.3
"Timor-Leste","C3_Group_Grievance",6.8
"Sierra Leone","C1_Security_Apparatus",5.4
"Sierra Leone","C2_Factionalized_Elites",7.9
"Sierra Leone","C3_Group_Grievance",5.9
"Egypt","C1_Security_Apparatus",7.3
"Egypt","C2_Factionalized_Elites",8.7
"Egypt","C3_Group_Grievance",8.5
"Burkina Faso","C1_Security_Apparatus",7.2
"Burkina Faso","C2_Factionalized_Elites",7.3
"Burkina Faso","C3_Group_Grievance",5.3
